您好播主，想了解出工打工情况，	这块 我们不是很了解
方便加您微信吗？孩子有打算去美国上研究生，想微信和您进一步沟通，谢谢	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
老师你好：咨询下今年美国工作还是不好找吗？	嗯哈，暂时对华人留学生来说还是很难 利息还是挺高，通货膨胀也不低，裁员还在进行
谢谢，刚刚才看到 还有我女儿男朋友今年也抽中工签了，女儿目前还在找工作，毕业快一年了都还找到正式工作，一直在哈佛肯尼迪学院做兼职，说实话挺焦虑的，孩子也不愿意回来，不知道有没有什么好的建议，谢谢女儿本科：女中科大，研究生是南加州大学	明白，其实男朋友抽中了，接下来可以考虑领个证
Gary老师您好！刚刚听完您的直播，首先感谢您为中国孩子在美国就业提供帮助！我女儿2021年美本TOP20大学毕业，主修应用数学与经济，毕业后在香港一家头部投行做分析师，毕业的同时考取了美国排名较前的MBA。2023年7月由于做投资移民的关系，辞去了干了2年的工作入境美国读MBA，目前是一年级下半学期。但是在找今年暑期实习中，遇到了很大困难。我们投的是投行、PE的岗位，但是几乎所有公司的岗位都要求5年以上的工作经验，最少的也要3年，所以至今没找到实习，这无疑对明年的全职申请难上加难了！女儿现在该怎么办，还有哪些岗位可以挖掘，您有哪些好的建议或者渠道可以推荐，（女儿已经取得工卡）急需您的指导与帮助，我们也愿意付费咨询，太感谢了！	感谢您的喜爱和支持 我其实不是最擅长这种大投行领域，所以也不随便收这种咨询费。您可以先加我微信我们聊一下，我可能有一些PE没有薪资的工作机会或许可以给她试试看补充美国经验 garyxiejienan
太感谢了 老师，我女儿就是学DS专业，现在大二，接下来该如何做？	um...她很喜欢DS就继续学，但是记得多学ChatGPT和人工智能就好
谢谢老师的回复 Gary您好，我想问问有国内工作经验再申美研，美研毕业后是不是比没有国内工作经验的好找工作些？另外还想问一个问题，美国公民男未婚50+，收养中国亲戚家孩子（女未婚）22，，有什么条件限制吗？有孩子的年龄限制吗或是其它什么要求？	您好，您的第一个问题国内工作经验如果是外企其实在美国有加分，如果是央企或者政府就没有了可能还会减分 第二个问题超纲。。。我在美国16年没有遇到过这个问题哈 可能需要去咨询专门的移民法律师，咨询费分分钟300美金一个小时起跳。如果你有需要我可以介绍
谢谢您的解答，后续有需要再联系您	感谢也可以关注我今天晚上的直播
一定场场不落 你好，老师，我想为女儿咨询工作的事	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的，谢谢你 请问老师：Opt期间出国工作了，能不能再回美国？谢谢😊	如果离开美国太久了，可能回不了，入境会被查或者遣送回去 我见过OPT期间离开美国最久的是六个月，回来被关小黑屋问了半天放进来
谢谢	可以用TN回来美国工作 很不错的履历，应该有机会
谢谢你 纽大本科商业与技术管理，GPA3.5，卡梅商业分析硕士，现在毕业在香港安永工作，为了进美国投行想再读个MBA，请问工作积累几年合适？是不是多段不同的工作更好？	这个很专业哈，我其实没有帮投行招人过也不敢随便回答您
能不能给个建议	一段比较长比较稳定的经验会比较加分 太多太跳的简历一般都不喜欢
好的，非常感谢 您好，我听说我朋友的儿子一直在美国没有找到工作，这次H1B还抽中了，什么意思？ 您好，我儿子在安永香港工作，我让他加您微信可以吗？	是有一些这样的公司，或者他没有找到工作但是爸爸妈妈有朋友的公司在美国帮他抽了也可以哈 感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的，谢谢了 已经申请了	感谢您理解
	您也可以关注我的直播 腾讯今天刚刚批准我的直播
好，已经关注 你助理不回信了	不好意思，我的唯一助理也被后台太多粉丝这几天每天聊十几个的 现在我们太晚了 您看看明天 如果还不行您也可以加我，但是我可能也无法常常回复，我也在外面跑猎头客户
那也祝贺你	garyxiejienan 感谢您哈 
没事，我是想问问我儿子在香港安永，想再读个mba，有必要吗	您也加我一下，我尽力！毕竟您是种子粉丝用户 加拿大籍，直接申请TN可以去投行试试看。现在投行行情不好 他水平已经够了我觉得 只是时间不错 时间不对
明白他想过二年再读mba，值得吗	如果是很不错的学校MBA可以认识厉害的校友，还是值得的
谢谢你，纽约大学mba怎么样？ 他最想在纽约 老师好！孩子今年留学申请，能约您时间，选校选专业能请教一下您吗？	您好哈，非常感谢您的喜爱 可是我真的是做猎头和职业这方面的，其实对于们最早选学校和专业我可能不一定很专业 不过您可以多留意的我直播和视频，我尽量分享一些一线的就业信息，帮助您做判断
好的谢老师！您的视角很重要，留学是为了就业更好生活，以终为始，以您的信息反推留学怎么定校定专业应该很有用。以后还要多向您请教	您客气了，感谢您关注！如果您可以帮我平时直播或者发视频的时候多转发我可以更多影响力，那就更感谢了！
好的，没问题 您好！有问题想咨询请问怎么联系你？	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好老师	你好
我是孩子家长，可以加微信沟通吗？	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好！Gray老师	您好
你好，请问本科数学专业，研究生申请什么专业比较好就业？谢谢	我不是留学辅导公司哈，我作为猎头公司或者一个留学生过来人，我会说：研究生选自己喜欢的想突破能力上线或者职业困境的专业
您好，太幸运刷到您的视频，我家女孩本科统计学，马上该申请了，我们定位就是商业分析，您觉得申请什么项目会好就业呢期待您的回复	商业分析您可以看我的视频哈，感谢您的关注 我觉得只要不执着于title，商业分析挺好找工作的才是
老师：您好！孩子今年本科毕业，拿到了研究生offer，想听听您的建议，可以约一个时间谈一下吗？谢谢您以下是孩子的offer，他目前没有什么想法	感谢您的喜欢和支持，其实这类问题本来应该是国内的留学机构比较了解。但是我发现他们因为每个学校给的提成不一样，所以他们偏向推荐提成高的学校和专业（比如数据分析每个学校给的提成都是很高的。。。所以国内的中介都在主推数据分析） 我觉得我无法给您建议，如果一定要给，我替孩子选专业的口诀只有：1. 选孩子自己喜欢感兴趣的专业 2. 选自己家族底蕴可以帮助到的专业 3. 实在都没有，就选学校排名最考前的就好了。。。
可以约个时间，和孩子一起谈一谈吗？我付费	这个方面问题我真的不专业，我只是一个过来人大哥哥给一些建议不能收费 我只有在帮人家做猎头或者找工作，或者企业落地服务收费 您加我的微信吧，我找个时间，但是不要收费哈 garyxiejienan
谢谢谢谢😊 你好，想咨询一下孩子目前是经济+统计双专业，是否比单纯的经济好找工作呢？另外他大一大二是金融转学到了新学校是经济，那么对于求职来说金融和经济哪一个更好留下来找工作呢	两个专业总比一个好一些，多一些选择 金融和经济。。。半斤八两，会计比较好
好的，谢谢 运筹专业的硕士在美国好找工作吗？	。。。就当作学了一个工商管理，随便找一些普通的工作就好
请问美本商业分析如何破局？期待下一个讲座	哈哈，已发！感谢关注，明天晚上有直播，也欢迎您关注和转发哈，谢谢支持！
您好！咨询一下，美国哥伦比亚大学的运筹学和芝加哥大学的金融数学，哪一个在美国比较好就业，谢谢您	都不好。。。 有会计专业可以选吗？
你好！想咨询一下，我女儿现在温哥华工作(美国的Workday公司)，有枫叶卡，她有机会去美国湾区工作吗？	理论上，如果拿到了加拿大护照，用TN签证入境美国比较容易 Workday也要看她是工程师还是前台还是会计，这个也会影响蛮大，美国现在不缺工程师
她是工程师，入职一年，P3 我不想要她入籍加拿大	美国现在工程师也过剩，可以问问他们公司能不能把她L1派来美国
有机会，但可能要入加拿大籍。 老师，您好！美国伯克利计算机专业本科毕业，没有美国实习，准备读研，孩子想去耶鲁计算机硕士专业感受一下，我们家长担心不好工作，建议他选卡梅硅谷校区的或者其他几个一年半到两点的项目，请您指教	都是很顶级的学校，不过计算机卡梅好一点 而且人家很聪明的知道要在硅谷设置校区帮助自己的学生提早社交找工作 我也觉得，卡梅的计算机会好一些，而且可以提前来硅谷
计算语言学好找工作吗？	暂时不好找
嗨！喜欢看你的视频！想了解更多！	感谢您喜欢哈！欢迎来我的直播间！~
我家孩子高三，本科去美国的话没钱我女儿儿想去法国那边，如果法国本科毕业在美国好找工作吗？	您好，法国毕业无法在美国找工作哈 美国的工作最大的问题不是什么学历和什么专业，是没有合法的工作签证 在美国留学的孩子，毕业后还会给你1-3年的工作许可试试看能不能留下来 其他国家毕业的孩子，无法进入美国国境工作
原来如此，谢谢谢谢，那就是去了美国很大概率也是留不下来	是的，90%美国的留学生也是回国的 嫩留下来的10%
您好！想了解申请美国公共卫生专业博士及留美职业规划问题！	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
谢谢！ Hi Gary， 我是纽约大学计算机工程专业的new grad，最早可以7月入职，很擅长通过面试，请问能否找你看看有没有合适的机会	哈哈，Sean你好 如果你很擅长通过面试，那么应该也不需要我们 服务啦 我们倒是没有什么New Grad的工作机会 一般都是要5年以上工作经验
Gary 老师您好，想做咨询	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好，听了您对BA的视频，我们现在有offer哥大BA和杜克Econ，该怎么选（硕士）？想留美就业，定金阶段，紧急，拜托指教	唉，都差不多吧。。哥大的BA真的是一个圈钱的项目，唉。。。。十个后台咨询我的，6个是哥大的。。。。这个学校真的是对留学生要求降低到了令人发指的地步。可能Duke的口碑会好一点吧 至于留美，其实读什么专业不重要，重要的是毕业之后知道自己去找一些普通的工作
您好！请问您那边针对孩子实习有相应的服务项目吗？	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，请问希望咨询什么问题？
好像上次听到你分享让你父亲学习中医什么的 关于长辈在这边再学习和再就业方面的事情 推拿你指的是按摩吗，那个需要力气吧	您好，推拿确实是按摩，我自己也经常去的一个附近小店有个香港移民的叔叔60岁了，还是推拿很到位，他在美国做推拿都20多年了。基本上以此推拿在加州硅谷要60-80美金再给20-40美金小费的样子 确实可能还是体力活，不过至少这个比较容易上手。如果您不想太消耗体力的，网约车还不错
我准备去社区大学上学，祝我顺利通过吧 你是哪里的我们好像应该是老乡	哈哈，我是福建泉州安溪人
老师好，我儿子是学音乐的，本科国内天津音乐学院毕业，因疫情等原因影响，今年美国洛杉矶MI硕士毕业，想咨询在美国找工作的事情。	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的 老师能加个微信吗？孩子5月毕业，想咨询找工作的事。	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的，谢谢 Hi Gary!非常喜欢您的视频，我会一直关注的。我来美国一年多，是从国内一大都市退休的重点高中的高级教师，教高考英语30多年，不到60岁，是PR身份，请问您的推荐建议？谢谢您	感谢您喜爱Rose 您这样的英文底子好的又有PR 其实有很多可能，甚至可以再开一个英文培训班，专门培训来美国的新移民也很有市场
谢谢您的鼓励，但我不知道开培训班是否需要很多的手续，场地等等。或者您有什么推荐？谢谢您 或先到您处接受培训或者我能做点什么吗？谢谢	语言培训机构资质很容易申请，而且如果您的目标客户也是年纪大一些的更容易 如果您真的要考虑，我们公司可以提供一些咨询服务和帮助帮您启动一下
太谢谢您！这样吧，我先了解一下，毕竟还不太清楚是否有客户群？后面如果需要再向您请求帮助，大概费用是多少？谢谢！我其实还想考虑是否能教中文？	要么教新移民英文，要么教美国人中文，道理都差不多 我们公司收取成立公司和一些基础创业idea可能要5000美金，我也不知道能不能帮到您 咱们可以先了解市场再说哈
好的，如有需要再打扰您！谢谢 或者贵公司有什么我能做的工作，我像老板您申请哦！	感谢您，以后有机会我跟您说 您好，请问希望咨询什么问题？
想了解去美国有什么技术移民项目  在线吗	不好意思，我平时工作比较忙，小红书还没有组建客服团队，我尽快安排起来，因为我几个账号目前咨询的人太多分身乏术。您可以关注我的直播！
给我直播时间	您看看我的视频号，我把直播时间预定出来了
主播好！ 今晚看到您的视频并关注了，我这边是广西的，听到您说回到福建，感到十分亲切。我的孩子在美国东部读本读 硕，本科是读经济学、研究生是读项目管理今年即将毕业，只有在国内实习过两个月。近期和孩子聊毕业就业问题，孩子反咉同专业的学长们都很难找到工作。我孩子的专业合适在哪方面发展呢？如何容易找到单位呢？麻烦您给予指导，谢谢！	感谢您关注和支持。是的现在美国对刚毕业的留学生非常不友好，后台私信我的很多爸爸妈妈的孩子都是这种情况。 我们公司作为猎头公司呢，绝大多数是在帮一些企业招比较资深的人才。但是我也是留学生过来的，理解大家对目前找工作可能遇到一些困难和困惑，可以让他关注我的直播，我会解答相关的问题。
非常感谢您的回复！ 另外想咨询你们公司有帮助即将或刚毕业留学生匹配寻找工作的业务吗？	有这个业务，但是可能需要收费很不好意思。因为猎头公司其实主要是根据客户需求去找比较资深的人才然后公司付费。但是刚刚毕业的留学生基本上没有公司会付费给我们 我们也不搞培训，不收押金或者预付款，只会在找到实习和工作之后收费，费用从至少5000美金到两三万美金（取决于找到了什么级别和待遇的工作） 如果您在悉知这些情况下，还希望和我们合作，我就要让我的助理加您和孩子聊聊看
明白。我先跟孩子聊聊，看孩子有什么想法和规划，再与您联系，非常感谢！	非常感谢，其实也可以多看看我以后的视频，视频免费的希望也可以给您孩子一些窍门
好的呀，谢谢哈！ 您好！很喜欢听你的视频，我是三个孩子的爸爸，我最小的儿子19岁，他是澳洲公民，现在墨尔本大学大一computer science 专业，我上周带他去了卡耐基梅隆大学，我希望他以后留在美国发展。我想请教一下您，关于如何能让孩子喜欢上美国并留在美国。我的微信号13641923507，我叫李海龙，我愿意付给你咨询费。谢谢	您客气了，不用付费咨询哈聊聊天就好 garyxiejienan 谢谢您的喜爱和关注
您好，我加了您的微信，谢谢！ 您好！我女儿12月份本科math cs专业毕业于UCSD ，她一直在美国投sde 岗，没有任何回复，现在申请了opt 可以留到5月中旬，目前也收到几个学校的研究生offer,读cs，但我们还是想先找工作实习，请问该如何做呢？她这个专业找别的工作能做什么呢？	感谢您支持… 其实我录好了给cs专业学生的建议 还没发这个视频 现在cs真的很难 建议看看先找无薪资工作
无薪的也找不到	如果您不介意使用我们的付费服务，我们可以帮您孩子安排一些初创公司无薪资的面试看看，如果面试通过了，孩子也愿意去，我们会收取个可能5000美金左右（就跟去上代码集训营差不多的价格）但是是一些硅谷真实在创业的公司的机会 如果您考虑我让我的助理见您和安排公司介绍以及面试
谢谢，我和孩子商量一下，主要是家里经济状况不好，本来不打算读研的，现在找不到工作还要读研，经济压力很大	明白，我可以教他一些办法 去找没有薪资的实习 不通过我们的人脉也可以 这样就不用花钱了
愿闻其详，敬请赐教 可以加微信吗？15817493853我的微信号	善用linkedin去找无薪资intern 多找校友人脉 脸皮要厚！
她也找了，很难	找500个校友 不要找50个 她还不够努力而已，如果500个不够就1000个 我们都是这么过来的
是的 你好，咱们是猎头公司吗？	必须是！ www.flyhightalent.com
我想为我儿子找工作。他去年从密歇根安娜堡大学研究生毕业。想找个大厂工作。	猎头是给公司找人，不是帮人找工作 帮人找工作尤其是刚刚毕业的真的很难
哦，好的，谢谢 你好，女儿罗德岛珠宝研究生毕业，在美国一家小公司做设计，今年H1B没有抽中签，怎样规划才能留在美国继续工作？	她是不是只有一年opt？ 建议可以挂一个学校day 1 cpt、继续工作继续抽
是的，她是艺术文科，只有一年，今天律师说她没有中签，很难过。	没事没事，小问题 准备一个MBA第二硕士学位 然后申请cpt校外合法工作，又可以撑2-3年
现在申请硕士一年的学位，还来的急吗？	当然，很多普通学校，一年四次入学 咱也不需要名校
是的， 为了一个合法身份，需要努力拼，也不知道值得不值得。 非常感谢你的建议	值不值得咱们现在不知道 那是未来哈 现在只能先努力
现在的年轻人不容易啊！	您好，请问希望咨询什么问题？不然我可能后台太多信息无法一一回答
老师 孩子的是供应链管理研究在密歇根安娜堡在美国好就业吗 是女孩子	供应链目前来说应该是比较好就业的，2024年很多中资企业出海都是做电商，而这里面供应链是重要的一环 所以相信如果今年毕业的话，她应该可以找到很多机会
可以私信你吗?孩子明年4月份毕业 老师你可以给我们规划吗	如果还有一年才毕业其实时间还是很从充沛 不好意思我们最近猎头需求也比较多，我或许可以跟您或者孩子约直播？ 我的小红书可以直播，视频号还不行 也是搜索“到美国就找硅谷猎头Gary”
老师你的时间点 好的 数据分析专业好不好找实习岗，现在是加卅圣地亚哥，9月上哥大研究生	非常不好… 我这星期有两个视频专门聊数据分析 我觉得是最麻烦的专业
哦，那这周关注一下你的视频	非常感谢
喜欢Gary接地气的视频分享，子女在硅谷，我方便添加你微信吗？	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好！想请教一下在美国开公司做贸易都需要什么条件，谢谢！	不同产品条件不一样，您可能很具体的需要咨询律师了
可以加微信吗？	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
我关注你了	非常感谢
你好，我准备7月去美国生活，对于你介绍的在美国创业和感兴趣，想深入交流	您好，感谢您的喜欢和认可，我尽快在视频号可申请直播
我们可以微信沟通吗？你可以加我18243116555	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好！请问普通人怎么去美国容易	您好，申请美国旅游签证B-2是最容易来美国的方式了 B-2签证的有效期通常为10年，每次入境美国后允许停留6个月
谢谢您 b-2白本不好过吧！ 您好，看了您的视频，现在也开始了opt的自雇，感觉受益匪浅，想和您多多交流呀	非常感谢您的认可和喜欢哈 有空也可以加我的小红书有直播，腾讯视频号还不让我直播 我的小红书也是到美国就找硅谷猎头Gary
谢谢谢谢 关注您的小红书了！ 我这边也是刚刚在进行自雇，对于商业执照和自雇公司未来需要如何报税，也想向您请教一下呀！	没问题，这些问题以后我也会弄成标准课程，便宜的卖一卖 不太有办法一个一个人的去解释和咨询 您好！ 感谢您的喜爱和认可，可以关注我的频道和直播，后续会出不同类型的话题，也欢迎您提供建议。 或者请问您希望咨询什么问题？
美国工作 北京本科毕业，在国内有七年云计算运维服务经验，先去美国读研究生还是考国际认证，哪一个更可以快速进入美国工作 北京本科毕业，在国内有七年云计算服务器运维服务经验，先去美国读研究生还是考国际认证，哪一个更可以快速进入美国工作	我可能比较保守的觉得还是读一个研究生比较快 如果没有美国的学历，来美国工作可能要靠工作签证，那个有一个概率问题
明白，谢谢提醒，提前层在美国读语言一年	你好，非常抱歉，私信爆炸了，回的比较慢
我是家长，加微信聊一下可以吗，18601787499 孩子在纽约、大学，研究生都在美国上的，现在已经毕业一年了，需要找工作，目前在申请绿卡中，您这边可以帮忙工作吗	没问题，您可以让他先加我助理，我们会一起研究看看有没有合适他的机会 感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好
您好 想请教一下毕业后找工作的事	Hi 感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
请问先生，你视频中说H1B今天放榜，是不是表示今年的抽签结束了吗？美国时间28、29、30还有抽签？	并不是哦，放榜还会持续到31号的 27号只是最早的一批放榜的 还会陆续放的哈
收到谢谢 Gary你好	Hi 你好
我是一名厨师，想了解一下出国劳工的事情	一般的厨师可能不就不容易，如果拿过很多奖可以考虑O1杰出人才工作签证出来
hi，我是一个在美读研后并在那里工作的一个学生的家长，希望在那边可以陪她一起生活，我可以干啥养活自己呢	您好，感谢您的关注和喜爱 其实华人在美国有hduoz可能性 好多种可能性 我的视频会慢慢的都发出来，也欢迎您以后来我直播间直接探讨
谢谢，女儿这次也抽了工签，现在都没消息，我没绿卡，只是想创造N条路，可累了，会持续关注你的，谢谢分享	还有两天时间 希望有机会
你好  有硬件开发实习岗位吗？佐治亚理工学院 电子计算机工程专业	你好，我们公司主要还是猎头业务，帮公司找一些资深和高级的人才 所以并没有太多实习机会，计算机工程最近更是很少
40-60话题，值得探讨，我在洛杉矶就是这类人群，可探索商机，我的微信：janliu906	感谢您的关注，有机会可以我视频号开了直播功能后我们谈
请问持有的L签证转绿卡需要的条件及时间。	这个问题找移民律师会比较精准回答您 L转绿卡也分很多种
可以加您微信吗	您好，请问希望咨询什么问题？不然我可能微信后台太多信息无法一一回答
女儿在纽约SVA（纽约视觉艺术学院）插画专业大三，听家长们反馈，就业很不容易。最近我在纽约，朋友建议我跟女儿聊聊，看她是否愿意转护理专业或教育专业，说是这两个专业容易留。我还不能确定这是否是客观事实。另外，看到您的视频中介绍自主创业、或家长注册公司的事，我也想语音联系您做进一步的了解。	确实这个专业不太容易找到工作留下来 感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，请问希望咨询什么问题？
感謝您的回覆！我的問題是，我目前是美國綠卡.現在除了可以通過申請我已經成年的唯一儿子來美國團聚的方式（只是需要幾年的時間排期）. 您是否可以提供更加便捷的方式給我呢？他是香港身份目前有旅遊簽證隨時也能夠入境美國. 例如工作或者創業等. 希望可以得到您中肯的建議！非常感謝！	您可以让儿子先来美国读书？然后边申请他的绿卡 不然没有更快的来美国办法，除非给他找一个有身份的女生立即结婚
感謝您提供的意見，非常中肯. 他已經30歲了也不知道讀什麼好. 另外結婚的事我不敢亂作主.  其他的事我可以說了算. 有沒有可能用他的名義在這邊成立一間公司. 正常交稅，不知道是否能申請居留. 或者找一間公司聘請他，肯為他作擔保的？如果這些方法都行不通那我只好找律師開始幫他申請家庭團聚，等待排期. 不然又浪費了時間. 您覺得呢？	Mandy，因为您有绿卡，我建议立即开始给您儿子申请一下绿卡这个流程比较久不过是最便宜的方法可以立即展开 其次，您要是自己有公司，或者打算成立一个公司，给您的孩子去做担保，可以申请H1B工作签证也可以考虑办理EB2或者EB3的人才绿卡也是需要5-6年的 而且这样操作的话，这个公司也必须盈利和雇佣比较多的人，除非您本来就有这么一个公司不然我不建议这么操作，因为您已经有绿卡是最省钱最没有风险的方法
我真的非常感激Gary您的中肯建議. 之前我還存有一些幻想，希望不要錯過更加好的機會. 我完全明白了！我會馬上開始為儿子申請綠卡的程序.     我平時偶爾刷微信，感覺很多人都是滿口胡言並不會太在意，只有您我覺得是很實在的一個人也真心願意幫助別人. 所以才冒昧給您私信. 能讓您在百忙之中回覆我的疑問并分析利弊，我是非常感恩！我祝您未來一切順利、生活美滿、越來越棒！！	感谢您喜欢和认可。我也是开门做生意，如果有可能帮到忙可以赚钱的我也会努力赚。但是您这种回答一下，不需要花钱就可以解决问题的就当然最便宜划算的方法就好 您赶紧给他安排上哈 如果需要律师告诉我，至少我合作的律师比较靠谱，还会给我提成
